Player Name,Rating,Link
"Abichandani, Yash",0,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=190974
"Afrakhteh, Ali",2176,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=161261
"Afrakhteh, Arsalan",1793,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=159319
"Ahmed, Furas",1721,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=183277
"Alapati, Anirvin",1314,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=177944
"Ali, Omar",2416,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=181485
"Antony, Ethan",540,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=161603
"Antony, Jose",1909,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=101133
"Aref, Daniel",1874,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=162210
"Aspathi, Satya",2393,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=182421
"Balamurugan, Tanish",2243,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=124311
"Balamurugan, Tanisha",1738,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=161522
"Balasubramanian, Nakshatra",126,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=185251
"Banerjee, Sampurna",209,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=177884
"Bellulli, Nikhil",247,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=185847
"Bellulli, Vikram",289,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=185848
"Bhattacharyya, Devansh",1655,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=162459
"Botha, Bosman",2330,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=105007
"Boyea, Christopher",1152,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=173337
"Cai, Ken",200,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=168365
"Cai, Micah",114,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=181010
"Cai, Shelton",200,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=175703
"Callaba, Nicolas",2568,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=188875
"Callejas, Daniel John",1473,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=156881
"Cavazos, Anthony",1692,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=17475
"Chai, Jim",2103,https://omnipong.com/T-tourney.asp?t=109&r=4985&h=&p=17588
